site,plot_id,year,pre_post_fire,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
Valentine,VR20N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,90,0.35,0.35,0.07,17.4,1,
Valentine,VR26N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR40E,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,180,0.8,0.8,0.21,2.2,4,
Valentine,VR35N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR1N,2019,prefire,0,13,13,0.3,2.75,1,
Valentine,VR1N,2019,prefire,0,56,56,0.4,11.8,2,
Valentine,VR1N,2019,prefire,90,17,17,0.3,4.1,3,
Valentine,VR1N,2019,prefire,90,35,35,0.9,9.8,na,
Valentine,VR1N,2019,prefire,90,33,33,30,1.7,na,
Valentine,VR1N,2019,prefire,90,32,32,22,1.55,na,
Valentine,VR1N,2019,prefire,90,13,13,0.5,4.25,na,
Valentine,VR1N,2019,prefire,180,53,53,16,10,1,
Valentine,VR1N,2019,prefire,270,55,55,55,9.5,5,
Valentine,VR1N,2019,prefire,270,44,44,13,11.6,3,
Valentine,VR1N,2019,prefire,270,16,16,0.8,7,4,
Valentine,VR1N,2019,prefire,270,14,14,0.9,2.5,4,
Valentine,VR30N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR30N,2019,prefire,180,25,25,10,1.45,2,
Valentine,VR30N,2019,prefire,180,16,16,0.6,0.8,2,
Valentine,VR30N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR14N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR14N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR4N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR4N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR4N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR3N,2019,prefire,0,57,57,54,5.3,1,
Valentine,VR3N,2019,prefire,0,50,50,13,20.6,1,
Valentine,VR3N,2019,prefire,0,36,36,16,15,3,
Valentine,VR3N,2019,prefire,90,50,50,na,8.8,4,
Valentine,VR3N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR3N,2019,prefire,270,55,55,0.3,9,1,
Valentine,VR3N,2019,prefire,270,47,47,29,12,2,
Valentine,VR3N,2019,prefire,270,54,54,22,24.5,1,
Valentine,VR33N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR16,2019,prefire,-,0,na,na,na,na,no datasheet
Valentine,VR10,2019,prefire,0,52,52,21,17.8,4,
Valentine,VR10,2019,prefire,0,40,40,18,15.6,2,
Valentine,VR10,2019,prefire,90,41,41,19,13.6,1,
Valentine,VR10,2019,prefire,180,45,45,22,2,5,
Valentine,VR10,2019,prefire,270,44,44,24,2.05,4,
Valentine,VR4,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR4,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR3,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR3,2019,prefire,90,82,82,66,17,4,
Valentine,VR3,2019,prefire,180,24,24,18,4.75,3,
Valentine,VR3,2019,prefire,180,17,17,0.6,4.9,4,
Valentine,VR3,2019,prefire,180,14,14,11,2.6,na,
Valentine,VR3,2019,prefire,270,30,30,27,2.4,3,
Valentine,VR3,2019,prefire,270,11,11,0.3,3.9,2,
Valentine,VR3,2019,prefire,270,35,35,27,9.5,1,
Valentine,VR3,2019,prefire,270,63,63,13,15.6,1,
Valentine,VR26,2019,prefire,0,0,na,na,na,na,
Valentine,VR26,2019,prefire,90,0,na,na,na,na,
Valentine,VR26,2019,prefire,180,0,na,na,na,na,
Valentine,VR26,2019,prefire,270,0,na,na,na,na,
Valentine,VR22,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR22,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR22,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR22,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR21,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR30,2019,prefire,0,13,13,11,1.38,3,
Valentine,VR30,2019,prefire,90,21,21,10,4.37,3,
Valentine,VR30,2019,prefire,90,17,17,11,1.18,3,
Valentine,VR30,2019,prefire,90,12,12,0.8,1.75,3,
Valentine,VR30,2019,prefire,180,27,27,14,4.55,3,
Valentine,VR30,2019,prefire,270,0,na,na,na,na,
Valentine,VR14,2019,prefire,0,0,na,na,na,na,
Valentine,VR14,2019,prefire,90,0,na,na,na,na,
Valentine,VR14,2019,prefire,180,0,na,na,na,na,
Valentine,VR14,2019,prefire,270,0,na,na,na,na,
Valentine,VR34,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR34,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR34,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR35,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR35,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR35,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR35,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR31,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR31,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR1,2019,prefire,0,35,35,0.6,8.2,1,
Valentine,VR1,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR1,2019,prefire,180,38,38,18,9.8,4,
Valentine,VR1,2019,prefire,180,30,30,13,9.2,3,
Valentine,VR1,2019,prefire,180,31,31,18,1.1,5,
Valentine,VR1,2019,prefire,270,30,30,0.2,5.9,1,
Valentine,VR1,2019,prefire,270,30,30,20,10.3,2,
Valentine,VR1,2019,prefire,270,35,35,14,11.4,1,
Valentine,VR1,2019,prefire,270,33,33,11,12.8,1,
Valentine,VR1,2019,prefire,270,15,15,0.9,2.05,3,
Valentine,VR11,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR11,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR11,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR16N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR16N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR16N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR16N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR43,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR25,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR25,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR52,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR52,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR52,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR11N,2019,prefire,90,0,na,na,na,,NO FUELS
Valentine,VR11N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR12N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR12N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR13N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR31N,2019,prefire,0,50,50,na,15.8,4,
Valentine,VR34,2019,prefire,270,102,130,100,13.8,2,
Valentine,VR14N,2019,prefire,0,95,na,na,na,5,
Valentine,VR21N,2019,prefire,180,82,na,na,na,5,
Valentine,VR43,2019,prefire,90,79,79,75,7.6,4,
Valentine,VR11N,2019,prefire,0,69,86,25,16.2,1,
Valentine,VR20,2019,prefire,270,68,na,na,na,5,
Valentine,VR10N,2019,prefire,0,64,na,na,na,5,
Valentine,VR31,2019,prefire,270,63,85,na,18.2,4,
Valentine,VR4,2019,prefire,270,57,na,na,na,5,
Valentine,VR10N,2019,prefire,180,55,na,na,na,5,
Valentine,VR10N,2019,prefire,180,54,66,29,10.7,4,
Valentine,VR33,2019,prefire,90,53,87,41,20.6,1,
Valentine,VR11N,2019,prefire,180,52,na,na,na,5,
Valentine,VR29,2019,prefire,0,51,51,37,7.2,3,
Valentine,VR13,2019,prefire,180,50.5,50.5,37.5,4.87,1,
Valentine,VR20N,2019,prefire,0,50,,20,13,4,
Valentine,VR33N,2019,prefire,180,50,67,57,10.8,2,
Valentine,VR44,2019,prefire,180,50,53,3.5,16.8,2,
Valentine,VR40,2019,prefire,0,50,65,5.5,20.4,4,
Valentine,VR12,2019,prefire,90,50,1.04,0.2,35,1,
Valentine,VR19,2019,prefire,0,48,55,21,25,3,
Valentine,VR12,2019,prefire,270,48,1.1,48,6,4,
Valentine,VR20,2019,prefire,270,48,na,na,na,5,
Valentine,VR12,2019,prefire,0,47,na,na,na,5,
Valentine,VR31,2019,prefire,0,46,na,na,na,5,
Valentine,VR29,2019,prefire,90,46,51,37,7.2,3,
Valentine,VR43,2019,prefire,0,46,60,51,4.44,4,
Valentine,VR10N,2019,prefire,180,46,46,21,8.4,2,
Valentine,VR44,2019,prefire,90,45,93,3,15.8,2,
Valentine,VR40,2019,prefire,90,45,65,5.5,20.4,4,
Valentine,VR12,2019,prefire,180,45,na,na,na,5,
Valentine,VR31,2019,prefire,0,45,na,na,na,5,
Valentine,VR40E,2019,prefire,270,42,44.5,3,23.4,3,
Valentine,VR29,2019,prefire,180,42,na,na,na,5,
Valentine,VR13,2019,prefire,270,41,1.32,21.5,30.4,4,
Valentine,VR29,2019,prefire,180,41,43,41,14.4,3,
Valentine,VR10N,2019,prefire,180,41,66,15.5,9.2,2,
Valentine,VR31N,2019,prefire,270,40,70,7,25.8,4,
Valentine,VR2,2019,prefire,270,39,na,na,na,5,
Valentine,VR33,2019,prefire,0,38,na,na,na,5,
Valentine,VR2,2019,prefire,0,37,39,35,12.5,5,
Valentine,VR2,2019,prefire,180,37,33,29,3.35,4,
Valentine,VR12N,2019,prefire,0,37,39,11,7.6,4,
Valentine,VR12N,2019,prefire,90,37,45,22,11.4,4,
Valentine,VR40,2019,prefire,90,36,41,18,10.8,4,
Valentine,VR4,2019,prefire,0,35,na,na,na,5,
Valentine,VR13,2019,prefire,270,34.5,1.32,11,29.8,4,
Valentine,VR21,2019,prefire,0,34,na,na,na,5,
Valentine,VR44,2019,prefire,0,34,45,5,10,2,
Valentine,VR23,2019,prefire,90,34,60,21,17.8,3,
Valentine,VR10N,2019,prefire,270,34,62,30,10.3,2,
Valentine,VR29,2019,prefire,270,33.3,42,12,18.7,4,
Valentine,VR23,2019,prefire,0,33,70,10,22.4,2,
Valentine,VR33,2019,prefire,270,33,41,35,8,3,
Valentine,VR2N,2019,prefire,180,32,49,23,9.6,3,
Valentine,VR19,2019,prefire,270,32,40,30,3.27,1,
Valentine,VR29,2019,prefire,270,32,47,34,8.7,3,
Valentine,VR2,2019,prefire,270,31,54,30,15.2,3,
Valentine,VR12,2019,prefire,0,31,41,30,3.07,4,
Valentine,VR23,2019,prefire,0,31,70,20,19,2,
Valentine,VR31N,2019,prefire,270,31,50,na,15.8,4,
Valentine,VR22N,2019,prefire,90,30,na,na,na,5,
Valentine,VR40E,2019,prefire,0,30,44.5,3,23.4,3,
Valentine,VR2N,2019,prefire,180,30,41,8,15.6,2,
Valentine,VR4,2019,prefire,270,30,30,9,8.8,4,
Valentine,VR29,2019,prefire,0,30,47,34,8.2,3,
Valentine,VR24,2019,prefire,90,30,36,21,10.8,5,
Valentine,VR26S,2019,prefire,180,29,37,1.7,10.4,3,
Valentine,VR2N,2019,prefire,90,29,49,23,9.6,3,
Valentine,VR2N,2019,prefire,270,29,43,5.2,17.8,3,
Valentine,VR2,2019,prefire,0,29,32,23,4.5,2,
Valentine,VR2,2019,prefire,180,29,32,15,7.6,2,
Valentine,VR44,2019,prefire,180,28,38,10,10,4,
Valentine,VR12,2019,prefire,90,28,na,na,na,5,
Valentine,VR20,2019,prefire,180,28,na,na,na,5,
Valentine,VR19,2019,prefire,90,27,na,na,na,5,
Valentine,VR44,2019,prefire,180,27,41,14,18,4,
Valentine,VR23,2019,prefire,270,27,67,8,22.6,3,
Valentine,VR22N,2019,prefire,180,26.5,41,10.5,13,3,
Valentine,VR13,2019,prefire,270,25,26,22,0.56,1,
Valentine,VR29,2019,prefire,180,25,na,na,na,5,
Valentine,VR24,2019,prefire,180,24,43,15.5,9.4,5,
Valentine,VR31N,2019,prefire,0,24,70,7,25.8,4,
Valentine,VR44,2019,prefire,90,23,na,na,na,5,
Valentine,VR29,2019,prefire,0,23,63,15,24,4,
Valentine,VR13,2019,prefire,270,22.5,34,18.5,11.4,4,
Valentine,VR4N,2019,prefire,90,22,50,18,13.8,3,
Valentine,VR31,2019,prefire,0,22,na,na,na,5,
Valentine,VR29,2019,prefire,180,22,42,12,18.7,4,
Valentine,VR40E,2019,prefire,90,21,27,18,4,4,
Valentine,VR19,2019,prefire,180,21,26,9.5,5,1,
Valentine,VR33,2019,prefire,180,21,29,15,3.54,4,
Valentine,VR22N,2019,prefire,180,20.5,na,na,na,5,
Valentine,VR11,2019,prefire,0,20.5,35.6,3,10,2,
Valentine,VR21N,2019,prefire,270,20,28,12,3.5,1,
Valentine,VR23,2019,prefire,90,20,70,10,22.4,2,
Valentine,VR11N,2019,prefire,180,20,na,na,na,5,
Valentine,VR13N,2019,prefire,180,20,21,12,2.73,3,
Valentine,VR33N,2019,prefire,0,19,27,8,7,4,
Valentine,VR12,2019,prefire,270,19,na,na,na,5,
Valentine,VR43,2019,prefire,0,19,na,na,na,na,
Valentine,VR25,2019,prefire,90,19,20,17,57,4,
Valentine,VR13N,2019,prefire,90,19,30,8,8.9,4,
Valentine,VR24,2019,prefire,0,18.5,25,24,3.7,5,
Valentine,VR21N,2019,prefire,0,18,na,0.5,10,4,
Valentine,VR44,2019,prefire,270,18,41,14,18,4,
Valentine,VR12,2019,prefire,90,18,13,0.7,1.67,4,
Valentine,VR20,2019,prefire,90,18,24,10,6.9,3,
Valentine,VR29,2019,prefire,270,18,na,na,na,5,
Valentine,VR25,2019,prefire,0,18,22,11,9.8,1,
Valentine,VR10N,2019,prefire,90,18,20,12,1.45,3,
Valentine,VR22N,2019,prefire,0,17,na,na,na,5,
Valentine,VR22N,2019,prefire,180,17,25,5.5,11,3,
Valentine,VR23,2019,prefire,90,17,29,13.5,na,3,
Valentine,VR20,2019,prefire,0,17,31,8,13.2,2,
Valentine,VR24,2019,prefire,270,17,35,1,24.8,4,
Valentine,VR20N,2019,prefire,0,16.5,60,0.3,16.4,1,
Valentine,VR21N,2019,prefire,180,16,16,0.1,3.16,4,
Valentine,VR44,2019,prefire,270,16,45,5,10,2,
Valentine,VR21N,2019,prefire,270,15,23,20,1.87,4,
Valentine,VR14N,2019,prefire,0,15,14,7,0.8,5,
Valentine,VR21,2019,prefire,180,15,20,6,5.15,3,
Valentine,VR44,2019,prefire,270,15,42,11,23,2,
Valentine,VR31,2019,prefire,0,15,na,na,na,5,
Valentine,VR29,2019,prefire,90,15,17,10,1.79,4,
Valentine,VR25,2019,prefire,90,15,40,11,70,4,
Valentine,VR11N,2019,prefire,0,15,49,6,10.1,4,
Valentine,VR13,2019,prefire,180,14.5,na,0.75,18.4,3,
Valentine,VR43,2019,prefire,180,14.5,22,4.5,4.45,3,
Valentine,VR22N,2019,prefire,270,14,na,na,na,5,
Valentine,VR22N,2019,prefire,270,14,20,11,5,3,
Valentine,VR30N,2019,prefire,90,14,14,11,1.85,2,
Valentine,VR33N,2019,prefire,0,14,22,9.5,10.2,3,
Valentine,VR21,2019,prefire,270,14,19,0.5,4.5,2,
Valentine,VR44,2019,prefire,270,14,38,10,10,4,
Valentine,VR23,2019,prefire,180,14,17,8.5,6.5,4,
Valentine,VR43,2019,prefire,180,14,14,12,0.54,4,
Valentine,VR24,2019,prefire,270,14,15,8,3.5,5,
Valentine,VR13N,2019,prefire,0,14,28,5,15.7,3,
Valentine,VR22N,2019,prefire,180,13,na,na,na,5,
Valentine,VR25N,2019,prefire,0,13,22,5,11.2,4,
Valentine,VR4,2019,prefire,270,13,13,12,7.4,2,
Valentine,VR12,2019,prefire,90,13,13,13,2.6,3,
Valentine,VR23,2019,prefire,180,13,17,1.2,2.2,3,
Valentine,VR24,2019,prefire,180,13,35,1,24.8,4,
Valentine,VR24,2019,prefire,270,13,17,9,4.7,5,
Valentine,VR12N,2019,prefire,0,13,na,na,na,5,
Valentine,VR13N,2019,prefire,90,13,21,1,12.6,3,
Valentine,VR13N,2019,prefire,90,13,21,4,12.7,3,
Valentine,VR22N,2019,prefire,90,12,na,na,na,5,
Valentine,VR22N,2019,prefire,180,12,na,na,na,5,
Valentine,VR40,2019,prefire,180,12,18,3,4,4,
Valentine,VR13,2019,prefire,0,12,10.5,0.4,2.04,4,
Valentine,VR12,2019,prefire,0,12,15,0.2,6.6,2,
Valentine,VR29,2019,prefire,90,12,12,6,2.24,3,
Valentine,VR21N,2019,prefire,90,11,12,0.2,7.5,2,
Valentine,VR22N,2019,prefire,180,11,11,1,9.2,2,
Valentine,VR40,2019,prefire,270,11,18,3,4,4,
Valentine,VR31,2019,prefire,270,11,11,8,2.26,4,
Valentine,VR13N,2019,prefire,180,11,11,6,3.05,3,
Valentine,VR31N,2019,prefire,90,11,11.5,1,4,2,
Valentine,VR22N,2019,prefire,180,10.5,na,na,na,5,
Valentine,VR22N,2019,prefire,90,10,14,9,7,4,
Valentine,VR22N,2019,prefire,180,10,30,9,10.5,3,
Valentine,VR2N,2019,prefire,0,10,12,2,2.8,1,
Valentine,VR2N,2019,prefire,0,10,0.43,1,1.4,1,
Valentine,VR2N,2019,prefire,90,10,41,8,15.6,2,
Valentine,VR2N,2019,prefire,270,10,12,80,0.6,3,
Valentine,VR33N,2019,prefire,270,10,na,na,na,5,
Valentine,VR23,2019,prefire,270,10,17,8.5,6.5,4,
Valentine,VR24,2019,prefire,270,10,20,6,11,5,
Valentine,VR52,2019,prefire,0,10,na,na,na,5,
Valentine,VR24,2019,prefire,0,9.5,12,9,0.29,3,
Valentine,VR22N,2019,prefire,270,9,11.5,7,3.5,3,
Valentine,VR23,2019,prefire,0,9,7,9,10.5,3,
Valentine,VR13N,2019,prefire,0,9,18,1.5,6.2,2,
Valentine,VR31N,2019,prefire,180,9,11.5,2,2.5,1,
Valentine,VR22N,2019,prefire,0,8.5,24,2,15,3,
Valentine,VR23,2019,prefire,0,8.5,13,3,3.3,3,
Valentine,VR2N,2019,prefire,180,8,12,4,2.85,3,
Valentine,VR2,2019,prefire,90,8,17,5,2.95,3,
Valentine,VR10N,2019,prefire,0,8,10,8,1,4,
Valentine,VR22N,2019,prefire,270,7,17,2,10,3,
Valentine,VR33N,2019,prefire,180,6,9,1,3,1,
Valentine,VR23,2019,prefire,0,6,8,4,2.3,3,
Valentine,VR29,2019,prefire,90,1.85,na,na,na,5,
Valentine,VR24,2019,prefire,180,1.5,na,na,na,5,
Valentine,VR12,2019,prefire,180,1.22,na,na,na,5,
Valentine,VR20N,2019,prefire,270,0.9,55,0.3,14,1,
Valentine,VR13,2019,prefire,90,0.9,44,0.8,4.65,4,
Valentine,VR14N,2019,prefire,180,0.45,0.5,0.34,4.23,2,
Valentine,VR21N,2019,prefire,180,0.39,0.47,0.1,16,1,
Valentine,VR20N,2019,prefire,90,0.3,na,0.3,5.3,4,
