jurisdiction,site,plotid,year,pre_post_fire,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,notes
UC_reserve,Valentine,VR20N,2019,prefire,0, <20,2,2,4,11.3,17,2,0,1,0.5,na,na,na,na,
UC_reserve,Valentine,VR20N,2019,prefire,90,<20,2,2,4,11.3,12,1,0,0,0.5,0,1,na,na,
UC_reserve,Valentine,VR20N,2019,prefire,180,<20,2,2,4,11.3,29,1,0,2,1,2.5,0.5,na,na,
UC_reserve,Valentine,VR20N,2019,prefire,270, <20,2,2,4,11.3,8,1,0,10,3,5,2.5,na,na,
UC_reserve,Valentine,VR21N,2019,prefire,0, <20,2,2,4,11.3,2,0,0,0,0.5,0,0.5,na,na,
UC_reserve,Valentine,VR21N,2019,prefire,90,-16,2,2,4,11.3,59,2,0,0.5,0.5,5,0.5,na,na,
UC_reserve,Valentine,VR21N,2019,prefire,180,  <20,2,2,4,11.3,67,3,0,10,0.5,15,5,na,na,
UC_reserve,Valentine,VR21N,2019,prefire,270,21,2,2,4,11.3,9,0,0,0,0.5,0,7,na,na,
UC_reserve,Valentine,VR22N,2019,prefire,0,<20,2,2,4,11.3,9,2,0,0,0.5,2,0.5,na,na,
UC_reserve,Valentine,VR22N,2019,prefire,90,<20,2,2,4,11.3,3,0,0,3,0.5,2,1.5,na,na,
UC_reserve,Valentine,VR22N,2019,prefire,180,<20,2,2,4,11.3,21,9,0,4,11,4,7,na,na,
UC_reserve,Valentine,VR22N,2019,prefire,270,<20,2,2,4,11.3,1,1,0,0,0,-,-,na,na,
UC_reserve,Valentine,VR24N,2019,prefire,0,<20,2,2,4,11.3,13,3,3,0,3,0,2.5,na,na,
UC_reserve,Valentine,VR24N,2019,prefire,90,<20,2,2,4,11.3,5,3,5,0.5,1,5,3,na,na,
UC_reserve,Valentine,VR24N,2019,prefire,180,<20,2,2,4,11.3,11,4,0,1,4,0,0.5,na,na,
UC_reserve,Valentine,VR24N,2019,prefire,270,<20,2,2,4,11.3,6,1,1,4,1,1,0.5,na,na,
UC_reserve,Valentine,VR25N,2019,prefire,0,<20,2,2,4,11.3,21,9,0,3,4,6,4,na,na,
UC_reserve,Valentine,VR25N,2019,prefire,90,<20,2,2,4,11.3,8,2,0,4,3,5,7,na,na,
UC_reserve,Valentine,VR25N,2019,prefire,180,<20,2,2,4,11.3,11,0,0,3,5,2,4,na,na,
UC_reserve,Valentine,VR25N,2019,prefire,270,<20,2,2,4,11.3,19,5,0,2,2,4,3,na,na,
UC_reserve,Valentine,VR25S,2019,prefire,0,<20,2,2,4,11.3,10,3,0,3,1,3,4.5,na,na,
UC_reserve,Valentine,VR25S,2019,prefire,90,<20,2,2,4,11.3,14,10,1,1,1,3,0.5,na,na,
UC_reserve,Valentine,VR25S,2019,prefire,180,<20,2,2,4,11.3,5,5,1,3.5,0.5,5,0.5,na,na,
UC_reserve,Valentine,VR25S,2019,prefire,270,<20,2,2,4,11.3,7,2,0,0.5,0,3.5,0.5,na,na,
UC_reserve,Valentine,VR26N,2019,prefire,0,<20,2,2,4,11.3,3,2,0,9,0,3,5,na,na,
UC_reserve,Valentine,VR26N,2019,prefire,90,<20,2,2,4,11.3,5,4,1,4,4.5,3,3.5,na,na,
UC_reserve,Valentine,VR26N,2019,prefire,180,<20,2,2,4,11.3,11,10,0,3,2,9,0,na,na,
UC_reserve,Valentine,VR26N,2019,prefire,270,<20,2,2,4,11.3,14,19,0,5,0,3.8,3,na,na,
UC_reserve,Valentine,VR26S,2019,prefire,0,<20,2,2,4,11.3,36,6,0,2.5,4.5,2,4,na,na,
UC_reserve,Valentine,VR26S,2019,prefire,90,<20,2,2,4,11.3,39,12,0,2.5,3,2,0.5,na,na,
UC_reserve,Valentine,VR26S,2019,prefire,180,<20,2,2,4,11.3,5,4,1,4,1,3.5,4,na,na,
UC_reserve,Valentine,VR26S,2019,prefire,270,<20,2,2,4,11.3,36,6,1,2,2.5,2,8,na,na,
UC_reserve,Valentine,VR40E,2019,prefire,0,<20,2,2,4,11.3,3,1,1,0,0.5,0,2,na,na,
UC_reserve,Valentine,VR40E,2019,prefire,90,<20,2,2,4,11.3,10,3,0,2,2,3,2,na,na,
UC_reserve,Valentine,VR40E,2019,prefire,180,<20,2,2,4,11.3,34,10,1,9,15,7,3,na,na,
UC_reserve,Valentine,VR40E,2019,prefire,270,<20,2,2,4,11.3,26,6,0,15,5,14,4,na,na,
UC_reserve,Valentine,VR35N,2019,prefire,0,<20,2,2,4,11.3,3,6,1,6,0.5,4,0,na,na,
UC_reserve,Valentine,VR35N,2019,prefire,90,<20,2,2,4,11.3,25,15,1,9,0,10,0.5,na,na,
UC_reserve,Valentine,VR35N,2019,prefire,180,<20,2,2,4,11.3,10,5,0,5.5,0,5.5,0,na,na,
UC_reserve,Valentine,VR35N,2019,prefire,270,<20,2,2,4,11.3,13,9,1,8,1,3,2,na,na,
UC_reserve,Valentine,VR1N,2019,prefire,0,-35,2,2,4,11.3,9,3,4,4,0.5,12,0.5,na,na,
UC_reserve,Valentine,VR1N,2019,prefire,90,<20,2,2,4,11.3,47,10,2,11,0.5,0,5,na,na,
UC_reserve,Valentine,VR1N,2019,prefire,180,51,2,2,4,11.3,14,1,0,0,3,7.5,0.5,na,na,
UC_reserve,Valentine,VR1N,2019,prefire,270,<20,2,2,4,11.3,2,0,1,7,0,7,3,na,na,
UC_reserve,Valentine,VR2N,2019,prefire,0,-50,2,2,4,11.3,20,7,2,9,5,5,0,na,na,
UC_reserve,Valentine,VR2N,2019,prefire,90,-42,2,2,4,11.3,41,5,1,3,0,1.5,2,na,na,
UC_reserve,Valentine,VR2N,2019,prefire,180,-37,2,2,4,11.3,52,10,0,5,6,9,10,na,na,
UC_reserve,Valentine,VR2N,2019,prefire,270,-23,2,2,4,11.3,73,6,0,15,0.5,5,0.5,na,na,
UC_reserve,Valentine,VR30N,2019,prefire,0,<20,2,2,4,11.3,5,9,0,0.5,8,2.5,2.5,na,na,
UC_reserve,Valentine,VR30N,2019,prefire,90,<20,2,2,4,11.3,6,1,1,5,0.5,2,0.5,na,na,
UC_reserve,Valentine,VR30N,2019,prefire,180,23,2,2,4,11.3,8,3,1,-,-,-,0.5,na,na,
UC_reserve,Valentine,VR30N,2019,prefire,270,<20,2,2,4,11.3,25,5,1,2,13,-,-,na,na,
UC_reserve,Valentine,VR14N,2019,prefire,0,<20,2,2,4,11.3,2,8,0,0,1,0.5,0.5,na,na,
UC_reserve,Valentine,VR14N,2019,prefire,90,<20,2,2,4,11.3,12,3,0,4.5,2,7,2,na,na,
UC_reserve,Valentine,VR14N,2019,prefire,180,<20,2,2,4,11.3,5,5,0,-,-,8,3.5,na,na,
UC_reserve,Valentine,VR14N,2019,prefire,270,<20,2,2,4,11.3,33,4,1,8,2.5,0.5,0.5,na,na,
UC_reserve,Valentine,VR4N,2019,prefire,0,<20,2,2,4,11.3,3,1,0,1,1,1,0.5,na,na,
UC_reserve,Valentine,VR4N,2019,prefire,90,<20,2,2,4,11.3,43,5,4,12,3.5,4,4,na,na,
UC_reserve,Valentine,VR4N,2019,prefire,180,25,2,2,4,11.3,9,0,0,6,1,2,2,na,na,
UC_reserve,Valentine,VR4N,2019,prefire,270,<20,2,2,4,11.3,6,8,2,2.5,0.5,6,3,na,na,
UC_reserve,Valentine,VR3N,2019,prefire,0,-47,2,2,4,11.3,17,1,7,9,0.5,18,0,na,na,
UC_reserve,Valentine,VR3N,2019,prefire,90,<20,2,2,4,11.3,20,7,1,4,2.5,6,4,na,na,
UC_reserve,Valentine,VR3N,2019,prefire,180,65,2,2,4,11.3,19,2,2,6,0,7.5,0,na,na,
UC_reserve,Valentine,VR3N,2019,prefire,270,32,2,2,4,11.3,5,2,1,2,3,10,0,na,na,
UC_reserve,Valentine,VR33N,2019,prefire,0,<20,2,2,4,11.3,1,2,1,0,0.5,0,0.5,na,na,
UC_reserve,Valentine,VR33N,2019,prefire,90,<20,2,2,4,11.3,15,5,1,0,0,0,0,na,na,
UC_reserve,Valentine,VR33N,2019,prefire,180,<20,2,2,4,11.3,6,3,1,2,4,0.5,1.5,na,na,
UC_reserve,Valentine,VR33N,2019,prefire,270,<20,2,2,4,11.3,7,4,0,3,2,0,0.5,na,na,
UC_reserve,Valentine,VR19,2019,prefire,0,37,2,2,4,11.3,12,2,0,6,4,10,11,na,na,
UC_reserve,Valentine,VR19,2019,prefire,90,<20,2,2,4,11.3,31,9,1,11.5,7,10,3,na,na,
UC_reserve,Valentine,VR19,2019,prefire,180,60,2,2,4,11.3,21,9,1,3,3,1,1,na,na,
UC_reserve,Valentine,VR19,2019,prefire,270,<20,2,2,4,11.3,26,7,2,7,5,-,-,na,na,
UC_reserve,Valentine,VR16,2019,prefire,-,-,2,2,4,11.3,-,-,-,-,-,-,-,na,na,no datasheet
UC_reserve,Valentine,VR10,2019,prefire,0,-35,2,2,4,11.3,2,1,1,-,-,1,3,na,na,
UC_reserve,Valentine,VR10,2019,prefire,90,<20,2,2,4,11.3,7,3,2,10,0.5,10,0.5,na,na,
UC_reserve,Valentine,VR10,2019,prefire,180,44,2,2,4,11.3,8,1,1,6.5,0,7,0.5,na,na,
UC_reserve,Valentine,VR10,2019,prefire,270,<20,2,2,4,11.3,10,3,2,-,-,7.8,0,na,na,
UC_reserve,Valentine,VR4,2019,prefire,0,20,2,2,4,11.3,4,0,0,0,0,0.5,0.5,na,na,
UC_reserve,Valentine,VR4,2019,prefire,90,<20,2,2,4,11.3,12,2,1,3,1,0.5,0,na,na,
UC_reserve,Valentine,VR4,2019,prefire,180,30,2,2,4,11.3,20,5,0,6,3,5,4,na,na,
UC_reserve,Valentine,VR4,2019,prefire,270,<20,2,2,4,11.3,25,2,0,8,1,10,2,na,na,
UC_reserve,Valentine,VR3,2019,prefire,0,50,2,2,4,11.3,58,10,1,0.5,4.5,10.5,0,na,na,
UC_reserve,Valentine,VR3,2019,prefire,90,39,2,2,4,11.3,0,0,1,-,-,-,15,na,na,
UC_reserve,Valentine,VR3,2019,prefire,180,-55,2,2,4,11.3,25,5,3,-,-,15,6,na,na,
UC_reserve,Valentine,VR3,2019,prefire,270,-43,2,2,4,11.3,1,7,3,-,-,10,0.5,na,na,
UC_reserve,Valentine,VR26,2019,prefire,0,<20,2,2,4,11.3,10,6,3,0,2.4,0,1,na,na,
UC_reserve,Valentine,VR26,2019,prefire,90,<20,2,2,4,11.3,5,2,0,3,0.5,0,0,na,na,
UC_reserve,Valentine,VR26,2019,prefire,180,<20,2,2,4,11.3,15,2,2,0,3,0,0.5,na,na,
UC_reserve,Valentine,VR26,2019,prefire,270,<20,2,2,4,11.3,15,5,0,0,3.6,3,1,na,na,
UC_reserve,Valentine,VR2,2019,prefire,0,-,2,2,4,11.3,8,0,0,0,0,1-,0.5,na,na,
UC_reserve,Valentine,VR2,2019,prefire,90,<20,2,2,4,11.3,0,0,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR2,2019,prefire,180,<20,2,2,4,11.3,17,5,0,8,0.5,0,0,na,na,
UC_reserve,Valentine,VR2,2019,prefire,270,<20,2,2,4,11.3,17,3,0,0,0,7,1.5,na,na,
UC_reserve,Valentine,VR22,2019,prefire,0,<20,2,2,4,11.3,10,5,0,7,0,0,0.5,na,na,
UC_reserve,Valentine,VR22,2019,prefire,90,<20,2,2,4,11.3,1,0,0,0,0.5,0,0,na,na,
UC_reserve,Valentine,VR22,2019,prefire,180,<20,2,2,4,11.3,5,1,1,0,0,0,0,na,na,
UC_reserve,Valentine,VR22,2019,prefire,270,20,2,2,4,11.3,10,4,0,6,0,8.2,0,na,na,
UC_reserve,Valentine,VR21,2019,prefire,0,<20,2,2,4,11.3,2,1,0,4.5,0.5,5,1.5,na,na,
UC_reserve,Valentine,VR21,2019,prefire,90,<20,2,2,4,11.3,8,2,0,5,2,6,0.5,na,na,
UC_reserve,Valentine,VR21,2019,prefire,180,<20,2,2,4,11.3,3,2,0,5,0.5,7,0.5,na,na,
UC_reserve,Valentine,VR21,2019,prefire,270,<20,2,2,4,11.3,29,9,0,3,3,2,7,na,na,
UC_reserve,Valentine,VR30,2019,prefire,0,<20,2,2,4,11.3,8,5,0,3,9,12,0.5,na,na,
UC_reserve,Valentine,VR30,2019,prefire,90,-22,2,2,4,11.3,4,0,1,0,2.3,2,11.8,na,na,
UC_reserve,Valentine,VR30,2019,prefire,180,<20,2,2,4,11.3,16,7,0,0,2,0,0,na,na,
UC_reserve,Valentine,VR30,2019,prefire,270,<20,2,2,4,11.3,8,1,0,5,3.5,0,0,na,na,
UC_reserve,Valentine,VR44,2019,prefire,0,<20,2,2,4,11.3,10,11,1,0,2,13,4.5,na,na,
UC_reserve,Valentine,VR44,2019,prefire,90,<20,2,2,4,11.3,10,2,1,2,3,3,5,na,na,
UC_reserve,Valentine,VR44,2019,prefire,180,<20,2,2,4,11.3,1,3,0,4,1,0,0,na,na,
UC_reserve,Valentine,VR44,2019,prefire,270,<20,2,2,4,11.3,2,6,2,1,3,0,0,na,na,
UC_reserve,Valentine,VR40,2019,prefire,0,<20,2,2,4,11.3,17,9,2,0.5,0.5,6,2,na,na,
UC_reserve,Valentine,VR40,2019,prefire,90,<20,2,2,4,11.3,3,13,1,7,3,0,0,na,na,
UC_reserve,Valentine,VR40,2019,prefire,180,<20,2,2,4,11.3,10,1,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR40,2019,prefire,270,<20,2,2,4,11.3,2,5,3,7,2,-,2,na,na,
UC_reserve,Valentine,VR14,2019,prefire,0,<20,2,2,4,11.3,13,0,0,4,0,6,0,na,na,
UC_reserve,Valentine,VR14,2019,prefire,90,<20,2,2,4,11.3,33,11,0,5.5,0.5,4,0,na,na,
UC_reserve,Valentine,VR14,2019,prefire,180,22,2,2,4,11.3,9,6,1,9,1,6,3,na,na,
UC_reserve,Valentine,VR14,2019,prefire,270,<20,2,2,4,11.3,25,5,0,7.5,0.5,6,0,na,na,
UC_reserve,Valentine,VR13,2019,prefire,0,<20,2,2,4,11.3,0,0,0,0,0.5,0,0,na,na,
UC_reserve,Valentine,VR13,2019,prefire,90,<20,2,2,4,11.3,13,0,5,1,1,4,8,na,na,
UC_reserve,Valentine,VR13,2019,prefire,180,<20,2,2,4,11.3,12,4,0,2,2,0,2,na,na,
UC_reserve,Valentine,VR13,2019,prefire,270,<20,2,2,4,11.3,0,2,0,1,1,0,0,na,na,
UC_reserve,Valentine,VR12,2019,prefire,0,-38,2,2,4,11.3,15,5,0,0,0.5,0,5,na,na,
UC_reserve,Valentine,VR12,2019,prefire,90,<20,2,2,4,11.3,18,8,0,0.5,3.5,0,3,na,na,
UC_reserve,Valentine,VR12,2019,prefire,180,50,2,2,4,11.3,7,1,0,0,0,2,0.5,na,na,
UC_reserve,Valentine,VR12,2019,prefire,270,<20,2,2,4,11.3,10,1,1,1,7,0,7.5,na,na,
UC_reserve,Valentine,VR34,2019,prefire,0,<20,2,2,4,11.3,5,8,0,0.5,0.5,0.5,10,na,na,
UC_reserve,Valentine,VR34,2019,prefire,90,<20,2,2,4,11.3,7,0,0,3,1.5,6,0.5,na,na,
UC_reserve,Valentine,VR34,2019,prefire,180,<20,2,2,4,11.3,4,3,0,3,4,1,6,na,na,
UC_reserve,Valentine,VR34,2019,prefire,270,<20,2,2,4,11.3,1,2,0,2,1.5,2,4,na,na,
UC_reserve,Valentine,VR35,2019,prefire,0,<20,2,2,4,11.3,15,10,4,0,0.5,5,0,na,na,
UC_reserve,Valentine,VR35,2019,prefire,90,<20,2,2,4,11.3,18,1,0,0,0,9.5,0.5,na,na,
UC_reserve,Valentine,VR35,2019,prefire,180,<20,2,2,4,11.3,10,2,0,4,0,0,0,na,na,
UC_reserve,Valentine,VR35,2019,prefire,270,<20,2,2,4,11.3,2,4,0,5,0,6,0,na,na,
UC_reserve,Valentine,VR31,2019,prefire,0,<20,2,2,4,11.3,0,4,5,5,6,2,3,na,na,
UC_reserve,Valentine,VR31,2019,prefire,90,<20,2,2,4,11.3,0,0,1,1,0,5,2,na,na,
UC_reserve,Valentine,VR31,2019,prefire,180,<20,2,2,4,11.3,7,2,0,4,0.5,0,0,na,na,
UC_reserve,Valentine,VR31,2019,prefire,270,<20,2,2,4,11.3,10,2,0,5,3,3,6,na,na,
UC_reserve,Valentine,VR23,2019,prefire,0,<20,2,2,4,11.3,3,10,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR23,2019,prefire,90,<20,2,2,4,11.3,30,15,6,7.5,2.5,13.5,6,na,na,
UC_reserve,Valentine,VR23,2019,prefire,180,<20,2,2,4,11.3,1,3,1,3,1,0,0,na,na,
UC_reserve,Valentine,VR23,2019,prefire,270,<20,2,2,4,11.3,47,2,1,6.5,7,5,0.5,na,na,
UC_reserve,Valentine,VR20,2019,prefire,0,<20,2,2,4,11.3,8,1,0,6,3,4,3,na,na,
UC_reserve,Valentine,VR20,2019,prefire,90,<20,2,2,4,11.3,54,1,0,5,3,4,3,na,na,
UC_reserve,Valentine,VR20,2019,prefire,180,<20,2,2,4,11.3,7,12,0,2,1,6,5,na,na,
UC_reserve,Valentine,VR20,2019,prefire,270,<20,2,2,4,11.3,4,5,0,6,5,8,4,na,na,
UC_reserve,Valentine,VR1,2019,prefire,0,-38,2,2,4,11.3,3,0,1,9,0,4.5,0.5,na,na,
UC_reserve,Valentine,VR1,2019,prefire,90,<20,2,2,4,11.3,26,3,0,6.6,0.5,8.6,3,na,na,
UC_reserve,Valentine,VR1,2019,prefire,180,54,2,2,4,11.3,16,5,3,6.3,0,12.4,2.5,na,na,
UC_reserve,Valentine,VR1,2019,prefire,270,<20,2,2,4,11.3,9,6,2,8,1,6,2,na,na,
UC_reserve,Valentine,VR11,2019,prefire,0,24,2,2,4,11.3,3,1,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,90,<20,2,2,4,11.3,1,1,2,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,180,<20,2,2,4,11.3,2,5,3,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,270,<20,2,2,4,11.3,9,8,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR29,2019,prefire,0,<20,2,2,4,11.3,20,4,1,4,4,0,5,na,na,
UC_reserve,Valentine,VR29,2019,prefire,90,<20,2,2,4,11.3,33,4,1,2.5,8,0,2,na,na,
UC_reserve,Valentine,VR29,2019,prefire,180,<20,2,2,4,11.3,30,5,1,2,3,1.5,5,na,na,
UC_reserve,Valentine,VR29,2019,prefire,270,<20,2,2,4,11.3,9,3,0,2,6,3,3,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,0,<20,2,2,4,11.3,28,14,4,10,1,13,2,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,90,<20,2,2,4,11.3,16,5,1,3,2,7,6,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,180,<20,2,2,4,11.3,14,13,0,5,1,8,0.5,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,270,<20,2,2,4,11.3,32,45,1,8,0,9,1,na,na,
UC_reserve,Valentine,VR43,2019,prefire,0,<20,2,2,4,11.3,3,3,0,0,2,0,0,na,na,
