year,2020survey,2020_date,plotid,2019_date,observers,easting,northing,elevation,degree,slope_percent,aspect_degree,HorizShape,VertShape,SlopePos,CGA,ExistVeg,FM1 (FUEL MODEL),FM2,FIRE_SEV,HIST1,HIST1 DATE,HIST2,HIST2 DATE,HIST3,HIST3 DATE,HIST4,HIST4 DATE,Parent material,2020NOTES,
2019,,,VR1,9/3/2019,SG TL RC JW,323485,4166230,,,-38,8,LL,LL,SH,100,ABIMAG/PINCON/PINMON/TSUMER,10,-,0,11,-,-,-,-,-,-,-,,,
2019,,,VR10,9/3/2019,SG TL RC JW,323481,4166329,,,-35,25,LL,LL,FS,100,ABIMAG/PINMON,10,-,0,11,-,-,-,-,-,-,-,,,
2019,,,VR10N,9/18/2019,SG TL RC JW,323486,4166379,,,-19,62,LL,LL,SH,100,PINMON/PINCON/ABIMAG,8,5,0,-,-,-,-,-,-,-,-,,,
2019,,,VR11,10/9/2019,SG TL RC JW,323585,4166330,,,24,17,LL,CV,FS,95,ABICON/ABIMAG/PINMON,8,-,0,11,-,3,-,-,-,-,-,,,
2019,,,VR11N,9/18/2019,SG TL RC JW,323585,4166379,,,-30,62,LL,LL,BS,100,ABIMAG/PINCON/PINJEF,2,8,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/14/2020,VR12,10/9/2019,SG TL RC JW,323685,4166330,,,26,21,LL,LCV,FS,98,ABIMAG/ABICON/PINCON/POPTRE,10,-,0,-,-,-,-,-,-,-,-,,,
2019,yes,9/14/2020,VR12N,9/18/2019,SG TL RC JW,323686,4166380,,,-18,101,LL,LL,TS,98,ABIMAG/POPTRE/PINCON/PINJEF/ALNINC,8,5,0,-,-,-,-,-,-,-,-,,,
2019,yes,9/21/2020,VR13,10/9/2019,SG TL RC JW,323785,4166330,,,10,8,LL,LL,TS,97.5,ABICON/PINCON/POPTRE,10,-,0,-,-,-,-,-,-,-,-,,riparian area with minimal thinning,
2019,yes,9/21/2020,VR13N,9/18/2019,SG TL RC JW,323785,4166330,,,-6,21,LL,LL,BS,100,ABICON/POPTRE/PINJEF/PINCON/ALNINC,8,2,0,11,-,-,-,-,-,-,-,,seems like transect is off?,
2019,,,VR14,8/24/2019,SG TL RC JW,-,-,,,-13,350,LL,LL,VB,100,ABICON/ABIMAG,8,-,0,-,-,-,-,-,-,-,-,,,
2019,,,VR14N,8/23/2019,SG TL RC JW,6276316,9956968,,,-15,30,LL,LL,FS,96,PINCON/ABICON/ABIMAG,6,4,0,5,-,-,-,-,-,-,-,,,
2019,yes,9/10/2020,VR16,10/9/2019,SG TL RC JW,324085,4166330,,,3,12,LL,LL,SU,99.5,ABICON/ABIMAG/PINJEF/PINCON,10,-,0,3,-,-,-,-,-,-,-,,,
2019,yes,9/9/2020,VR16N,8/20/2019,SG TL RC JW,324441,4166433,,,8,41,LL,LL,VB,100,ABICON/PINCON,8,-,0,5,-,11,-,-,-,-,-,,,
2019,,,VR19,9/11/2019,SG TL RC JW,37.62,-119,,,37,80,LL,LL,BS,100,PINJEF/ABICON/PINCON,8,-,0,11,-,5,-,-,-,-,,,,
2019,,,VR1N,9/3/2019,SG TL RC JW,323485,4166273,,,-35,10,LL,LL,BS,100,ABIMAG/ PINCON/PINMON,10,,0,11,-,-,-,-,-,-,-,,,
2019,,,VR2,9/1/2019,SG TL RC JW,-,-,,,-,-,LL,LL,SH,60,PINCON/ABIMAG/ABICON,8,-,0,11,-,-,-,-,-,-,-,,,
2019,,,VR20,9/11/2019,SG TL RC JW,323585,4166430,,,-13,21,LL,LL,TS,99,PINCON/ABIMAG/PINJEF,8,-,0,-,-,-,-,-,-,-,-,,,
2019,yes,10/2/2020,VR20N,9/19/2019,SG TL RC JW,323586,4166479,,,7,20,LL,LL,BS,100,PINJEF/ABIMAG/PINCON/PINMON,10,,0,5,-,11,-,-,-,-,-,,no apparent thinning inside plot,
2019,yes,9/12/2020,VR21,9/12/2019,SG TL RC JW,323685,4166430,,,20,85,LL,LL,FS,100,PONCON/ABICON,8,-,0,11,-,5,-,-,-,-,-,,rebar at edge of pile. Sooty grouse pair :^),
2019,,,VR21N,9/20/2019,SG TL RC JW,323686,4166479,,,20,95,LL,LL,FS,100,PINCON/ABIMAG/ABICON/PINMON/PINJEF,8,,0,11,-,5,-,-,-,-,-,,,
2019,yes,9/21/2020,VR22,8/24/2019,SG TL RC JW,-,-,,,-11,100,LL,CO,UB,100,ABICON/PINCON/ABIMAG,8,-,0,5,-,11,-,-,-,-,-,,,
2019,yes,10/2/2020,VR22 N,9/17/2019,SG TL RC JW,323786,4166480,,,9,52,LL,LL,,99,ALNINC/ABICON/PINCON/ABIMAG,6,,0,3,-,9,-,11,-,-,-,,"riparian area, no thinning but thinning just south of plot",
2019,,,VR23,8/23/2019,SG TL RC JW,-,-,,,-2,38,UN,UN,TS,97,PINCON/ABIMAG/ABICON/ALNINC,8,10,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/10/2020,VR24,8/21/2019,SG TL RC JW,-,-,,,-7,18.5,LL,LL,TS,98,PINCON/ABICON,8,10,0,11,-,-,-,-,-,-,-,,heavy cut,
2019,yes,9/30/2020,VR24N,9/17/2019,SG TL RC JW,323986,4166480,,,14,344,CV,CV,TS,99,ALNINC/PINCON/ABICON,6,,0,3,-,5,-,17,30-Sep,-,-,,slight thinning on south side of plot,
2019,yes,9/9/2020,VR25,8/15/2019,SG TL RC JW,-,-,,,2,20,LL,LL,TS,100,ABICON/PINCON,-,-,0,5,-,11,-,-,-,-,-,,,
2019,yes,9/9/2020,VR25N,9/18/2019,SG TL RC JW,324085,4166480,,,5,2,LL,LL,TS,100,ABICON/ABIMAG/PINJEF/PINCON,6,,0,3,-,5,-,-,-,-,-,,"seems like transect was quite off for some of these plots, so am doing to MY north maybe compass off last year?",
2019,yes,9/10/2020,VR25S,8/21/2019,SG TL RC JW,-,-,,,-8,44,LL,LL,TS,99,ABICON/PINJEF/PINCON,1,,0,5,-,11,-,-,-,-,-,,"no observed thinning, but just outside plot",
2019,yes,9/9/2020,VR26,8/20/2019,SG TL RC JW,-,-,,,-5,19,LL,CO,BV,98,ABICON/PINCON,8,6,0,1,-,5,-,10,-,11,-,,needs new rebar,
2019,yes,9/9/2020,VR26N ,8/22/2019,SG TL RC JW,-,-,,,-4,330,LL,LL,VB,100,ABICON/PINCON,8,,0,5,-,11,-,-,-,-,-,,,
2019,yes,9/10/2020,VR26S,8/21/2019,SG TL RC JW,-,-,,,-9,340,BB,BB,TS,95,PINCON/PINJEF/ABICON,8,2,0,5,-,-,-,-,-,-,-,,"rebar moved, replaced it but no UTM so used pictures. Might be slightly off from og placement ",
2019,,,VR2N,09/01/209,SG TL RC JW,6099543,43466,,,-65,10,LL,LL,BS,97,ABICON/PINCON/ABIMAG,8,,0,11,-,-,-,-,-,-,-,,,
2019,,,VR3,8/31/2019,SG TL RC JW,-,-,,,-62,58,LL,LL,BS,100,ABICON/ABIMAG,8,-,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/12/2020,VR30,9/5/2019,SG TL RC JW,323693,4166527,,,20,138,CC,CC,SU,100,ABIMAG/PINJEF/ABICON,10,-,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/12/2020,VR30N,9/5/2019,SG TL RC JW,323682,4166574,,,14,8,CV,LL,SU,99,PINCON/PINJEF/ABIMAG/ABICON/ALNINC,10,,0,11,-,5,-,-,-,-,-,,,
2019,yes,9/22/2020,VR31,9/12/2019,SG TL RC JW,323786,4166530,,,-,58,LL,CC,FS,100,ABICON/ABIMAG/POPTRE/PINCON/ALNINC,8,-,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/22/2020,VR31N,9/4/2019,SG TL RC JW,323787,4166575,,,-9,23,LL,LL,VB,96,PINCON/ABICON/PINJEF/POPTRE,8,2,0,11,-,-,-,-,-,-,-,,no apparent thinning occurred,
2019,yes,9/30/2020,VR33,9/9/2019,SG TL RC JW,323985,4166530,,,-25,318,LL,LL,VB,95,PINCON/ABIMAG/ABICON/POPTRE,8,2,0,-,-,-,-,-,-,-,-,,no apparent thinning occurred. Near cabins,
2019,yes,9/30/2020,VR33N,9/16/2019,SG TL RC JW,324189,4166567,,,10,74,CC,LL,TS,99,ALNINC/POPTRE/PINCON,6,-,0,3,-,5,-,12,-,17,20-Sep,,very light thinning south side of plot,
2019,yes,9/9/2020,VR34,9/9/2019,SG TL RC JW,324085,4166530,,,-4,60,LL,LL,VB,100,POPTRE/ABICON/PINCON,8,2,0,-,-,-,-,-,-,-,-,,,
2019,yes,9/3/2020,VR35,8/22/2019,SG TL RC JW,324183,4166535,,,-8,18,LL,LL,VB,95,ABIMAG/PINCON/ABICON/PINJEF,8,-,0,5,-,11,-,17,Aug-20,-,-,,,
2019,yes,9/3/2020,VR35N,8/22/2019,SG TL RC JW,324196,4166583,,,-6,30,LL,LL,VB,100,PINCON/ABICON/POPTRE,8,,0,5,-,-,-,17,Aug-20,-,-,,,
2019,yes,9/14/2020,VR3N,8/31/2019,SG TL RC JW,6316036,9850656,,,-50,50,LL,LL,FS,100,ABICON/ABIMAG/POPTRE,8,-,0,11,-,-,-,-,-,-,-,,,
2019,yes,9/21/2020,VR4,8/25/2019,SG TL RC JW,-,-,,,-20,22,PA,PA,BS,97,POPTRE/ABICON,5,8,0,11,-,-,-,-,-,-,-,,moderate heavy thin,
2019,yes,9/17/2020,VR40,9/4/2019,SG TL RC JW,-,-,,,-5,145,LL,LL,VB,99,PINJEF/PINCON/ABICON/ABIMAG/ABICON,8,7,0,-,-,-,-,-,-,-,-,,might not have been treated by time of 2020 survey?? Issues behind cabins,
2019,yes,9/17/2020,VR40E,9/4/2019,SG TL RC JW,323839,4166634,,,-10,82,LL,LL,VB,99,ABIMAG/PINJEF/PINCON/ABICON,7,,0,-,-,-,-,-,-,-,-,,might not have been treated by time of 2020 survey?? Issues behind cabins,
2019,yes,9/29/2020,VR43,9/9/2019,SG TL RC JW,324086,4166630,,,2,172,LL,LL,VB,97,POPTRE/PINCON/ABICON,8,1,0,11,-,-,-,-,-,-,-,,no observed thinning,
2019,yes,9/29/2020,VR44,9/11/2019,SG TL RC JW,324185,4166630,,,-11,0,LL,LL,VB,99,ABIMAG/POPTRE/PINCON,2,8,0,17,30-Sep,-,-,-,-,-,-,,low thinning south side of plot. Not much change otherwise. ,
2019,yes,9/21/2020,VR4N,8/25/2019,SG TL RC JW,6316036,89850656,,,-15,2,LL,LL,FS,99,ABICON/PINCON/POPTRE,1,2,0,5,-,-,-,-,-,-,-,,no apparent thinning observed here ,
2019,,,VR52,9/11/2019,SG TL RC JW,324085,4166730,,,3,322,LL,LL,VB,95,PINCON/ABICON/POPTRE/ALNINC/PINJEF,7,2,0,-,-,-,-,-,-,-,-,,,
,yes,10/2/2020,VR29,,,,,,,,,,,,,,,,0,,,,,,,,,,partial thin on south side of plot,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
