year,plot_id,gravel,cobble,stone,boulder,bedrock,baresoil,wood,litter,Cryp/Moss/Lich,ash,basalveg,other1,other2,stump,cone,Total,
2019,VR1,1,2,1,1,-,0.5,3,90.5,-,-,1,-,-,,,100,
2019,VR1 N,2,3,0.5,-,-,1,1,91.5,-,-,1,-,-,,,100,
2019,VR10,0.5,1,0.5,0.5,-,0.5,1,95,-,-,1,-,-,,,100,
2019,VR10N,3,0,1,0,0,0.5,3,91.5,-,-,1,-,-,,,100,
2019,VR11,5,0.5,0.5,0.5,3,63.5,5,20,-,-,2,-,-,,,100,
2019,VR11N,0.5,0.5,1,0,0,0.5,3,93.5,-,-,1,-,-,,,100,
2019,VR12,1,-,0.5,-,-,28.5,2.5,65,-,-,2.5,-,-,,,100,
2020,VR12,tr,0,0,tr,0,2,20,75,0,0,3,0,0,tr,tr abco,,
2019,VR12N,0.5,0,0,0,0,1,3,92.5,-,-,1,2,-,,,100,
2020,VR12N,1,0,1,0,tr,2,12,82,0,0,1.5,0,0,0.5,tr abies,,
2019,VR13,0.5,-,-,0.5,0.5,30.5,3,60,-,-,2,2,-,,,99,
2020,VR13,tr,0,tr,5,0,tr,20,68.5,0,0,1.5,0,0,tr,5 pico,,
2019,VR13N,0.5,0.5,1,1,0,0.5,4,91.5,-,-,1,-,-,,,100,
2020,VR13N,tr,tr,7,3,0,tr,12,80,0,0,2,0,0,tr,"3 pije, pico",,
2019,VR14,3,2,0.5,0.5,-,0.5,1,91,-,-,2,0.5,-,,,101,
2019,VR14N,0.5,0.5,1,1,-,0.5,1,94,-,-,1,0.5,-,,,100,
2019,VR16,0.5,-,-,-,0.5,15,2.5,80,-,-,2,-,-,,,100.5,
2020,VR16,tr,0,0,0,1,2,15,73,0,0,2,0,0,tr,7 pije,,
2019,VR16N,0.5,0.5,-,0.5,-,0.5,-,97,-,-,2,-,-,,,101,
2020,VR16N,tr,tr,0,tr,0,1.5,2,75,0,0,1.5,0,0,0.5,18 pico,,
2019,VR19,0.5,0.5,0.5,0,0,20,15,57,-,-,2,-,-,,,95.5,
2019,VR2,0.5,0.5,1,5,25,0.5,3,63.5,-,-,1,-,-,,,100,
2019,VR20,0.5,0.5,0.5,0,0,0.5,4,93,-,-,1,-,-,,,100,
2019,VR20N,2,2,1,1,-,-,2,91,-,-,1,-,-,,,100,
2020,VR20N,1,1,0,3,0,tr,5,89,0,0,2,0,0,,,,
2019,VR21,2,1,0.5,1,-,0.5,1,92,-,-,1,1,-,,,100,
2020,VR21,tr,tr,1,4,0,2,15,79,0,0,1,0,0,0.25,2 pico,,wood consists of piles as well
2019,VR21 N,-,-,0.5,1,-,-,1,93.5,-,-,1,3,-,,,100,
2019,VR22,1,1,2,-,-,0.5,0.5,94,-,-,1,-,-,,,100,
2020,VR22,1,0,2,0,6,20,2,60,0,0,1.5,7,0,tr,1 pico,,other=piles
2019,VR22N,0.5,-,-,0.5,-,10,1,86.5,-,-,1.5,1,-,,,101,
2020,VR22N,tr,tr,tr,1,0,0,12,80,0,0,2,2,0,0,0,,other=water
2019,VR23,1,0.5,0.5,2,0,0.5,4,87.5,-,-,2,2,-,,,100,
2019,VR24,1,1,2,0.5,0,0.5,3,90,-,-,2,-,-,,,100,
2020,VR24,tr,tr,0,1,0,5,10,79.5,0,0,1.5,0,0,1,tr,,
2019,VR24 N,0.5,0.5,-,-,-,21,-,75.5,-,-,1.5,1,-,,,100,
2020,VR24 N,tr,tr,0,0,0,3,tr,94,1,0,1,1,0,tr,tr pico,100,
2019,VR25,0.5,0.5,0.5,0.5,0,0.5,2,94,-,-,2,-,-,,,100.5,
2020,VR25,tr,tr,tr,1,0,1,4,73.5,0,0,2.5,0,0,tr,"18 (pico,pije)",,
2019,VR25N,0.5,0.5,-,0.5,0.5,16.5,0.5,80,-,-,1,-,-,,,100,
2020,VR25N,tr,tr,0,1,1,tr,2,83.5,0,0,2.5,0,0,tr,"10 pico,pije",,
2019,VR25 S,0.5,0.5,0.5,0.5,0,0.5,0.5,95.5,-,-,1,0.5,-,,,100,
2020,VR25S,tr,tr,0,tr,0,3,tr,90.5,0,0,1,0,0,tr,5 pije,,
2019,VR26,35,50,1,2,-,0.5,-,8.5,-,-,1,1,-,,,99,
2020,VR26,2,,5,10,0,35,0.5,44.5,0,0,1,0,0,tr,2 pico,98,
2020,VR26N,tr,0,0,tr,0,10,6,81.5,0,0,1.5,0,0,1,tr,99,
2019,VR26N,0.5,-,-,0.5,-,1,1.5,95.5,-,-,1,-,-,,,100,
2019,VR26S,0.5,0.5,0.5,0.5,0,0.5,0.5,94,-,-,1,-,-,,,98,
2020,VR26S,tr,tr,0,2,0,40,0.5,56,0,0,0.5,0,0,1,tr,,
2019,VR29,0.5,-,-,-,-,0.5,2,95,-,-,2,-,-,,,100,
2020,VR29,tr,0,0,0,0,tr,15,81.5,0,0,2.5,0,0,tr,1 pico,,
2019,VR2N,0.5,0.5,0.5,1,0,0.5,3,93,-,-,1,-,-,,,100,
2019,VR3,0.5,0.5,0.5,1,-,0.5,2,94,-,-,1,-,-,,,100,
2019,VR30,1,2,1,0.5,-,0.5,1,92,-,-,1,1,-,,,100,
2020,VR30,tr,tr,5,3,0,4,25,60.5,0,0,0.5,0,0,1,1 pije,,
2019,VR30N,0.5,0.5,1,2,-,-,0.5,94.5,-,-,1,-,-,,,100,
2020,VR30N,tr,tr,tr,10,0,tr,7,71.5,0,0,1,0,0,0.5,10 pjie,,
2019,VR31,0.5,0.5,0.5,-,-,0.5,0.5,96.5,-,-,1,-,-,,,100,
2020,VR31,tr,tr,tr,tr,1,tr,10,86,0,0,1.5,0,0,tr,2 pico,,
2019,VR31N,0.5,0.5,0.5,3,-,0.5,3,91,-,-,1,-,-,,,100,
2020,VR31N,tr,tr,0.5,2,0,2,10,79,0,0,1.5,0,0,0,5 pico,,
2020,VR33,tr,tr,0,0,0,2,7,79,tr,0,2,10,0,,,100,other =water
2019,VR33,0,0.5,0,0,0,0.5,3,92,-,-,1,3,-,,,100,
2020,VR33N,tr,tr,0,0,0,3,10,86,0,0,1,0,0,tr,tr,100,
2019,VR33N,0.5,0.5,-,-,-,21.5,1,75,-,-,1.5,-,-,,,100,
2019,VR34,0,0,0,0,0,0.5,2,96.5,-,-,1,-,-,,,100,
2020,VR34,tr,0,0,0,0,4,9,73,tr,0,1.5,0,0,1,2 pico,,
2019,VR35,0.5,0.5,1.5,5,-,0.5,1,85,-,-,1,-,-,,,95,
2020,VR35,tr,tr,tr,10,0,1,6,82,tr,0,1,0,0,,,100,
2019,VR35N,0.5,0.5,-,0.5,-,0.5,1,95,-,-,2,-,-,,,100,
2020,VR35N,tr,tr,0,0,0,tr,5,93,tr,0,2,0,0,,,100,
2020,VR3N,tr,tr,tr,2,0,2,20,63.5,0,0,2.5,0,0,0,0,,
2019,VR3N,0.5,0.5,0.5,0.5,-,0.5,4,89.5,-,-,2,-,-,,,98,
2019,VR4,0.5,-,0.5,2,-,0.5,2,93.5,-,-,1,-,-,,,100,
2020,VR4,0.5,0,tr,10,0,2,2,82.5,0,0,1,2,0,tr,0,,other=piles
2019,VR40,2,0,0.5,0,0,0.5,2,96,-,-,1,-,-,,,102,
2020,VR40,1,0,tr,0,0,15,10,70,0,0,2,0,0,0,2 pije,,
2019,VR40E,0.5,0.5,1,0,0,0.5,2,94.5,-,-,1,-,-,,,100,
2020,VR40E,tr,tr,1,0,0,5,12,70,0,0,2,0,0,0,10 pije,,
2020,VR43,tr,tr,0,0,0,1,12,80,tr,0,2,5,0,tr,tr,100,other =water
2019,VR43,0,0,0,0,0,0.5,1,96.5,-,-,1,1,-,,,100,
2019,VR44,0,0.5,0,0,0,0.5,5,93,-,-,1,-,-,,,100,
2019,VR4N,0.5,0.5,-,0.5,-,0.5,1,95,-,-,1,1,-,,,100,
2020,VR4N,tr,tr,tr,1,0,5,20,48.5,0,0,1.5,25,0,tr,tr pico,,other=road; CWD includes logs that will most likely be removed?? @10%
2019,VR52,0,0,2,0,0,0,0,97,-,-,1,-,-,,,100,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
